trainer/Q Targets Mean,trainer/Q1 Predictions Std,evaluation/Actions Min,trainer/QF1 Loss,trainer/Alpha Loss,exploration/Num Paths,trainer/Log Pis Max,trainer/Alpha,evaluation/Returns Max,exploration/Returns Std,trainer/Log Pis Std,evaluation/Actions Mean,exploration/Returns Mean,evaluation/Rewards Min,evaluation/path length Max,evaluation/num paths total,evaluation/Rewards Max,evaluation/Returns Std,time/exploration sim sampling (s),exploration/Actions Std,trainer/Q Targets Min,evaluation/path length Min,evaluation/Actions Max,evaluation/Rewards Std,trainer/Policy mu Std,trainer/Q Targets Std,time/data storing (s),evaluation/Average Returns,exploration/Actions Min,time/total (s),trainer/Q2 Predictions Max,time/saving (s),trainer/Policy mu Mean,trainer/Q1 Predictions Min,exploration/Returns Min,exploration/Rewards Max,replay_buffer/size,exploration/path length Std,evaluation/path length Std,evaluation/Returns Min,evaluation/Num Paths,evaluation/Actions Std,trainer/Policy mu Max,evaluation/path length Mean,trainer/Q Targets Max,trainer/Q2 Predictions Min,exploration/Returns Max,time/epoch (s),evaluation/Returns Mean,exploration/Actions Max,exploration/path length Max,trainer/Q1 Predictions Max,evaluation/Rewards Mean,trainer/Policy log std Max,time/exploration real sampling (s),exploration/Average Returns,trainer/Log Pis Mean,trainer/Policy log std Std,trainer/Policy Loss,trainer/Log Pis Min,exploration/Actions Mean,exploration/Rewards Mean,trainer/Policy mu Min,exploration/path length Mean,time/logging (s),exploration/num paths total,time/evaluation sampling (s),trainer/QF2 Loss,exploration/Rewards Min,exploration/Rewards Std,exploration/path length Min,trainer/Policy log std Min,evaluation/num steps total,trainer/Q2 Predictions Std,Epoch,exploration/num steps total,trainer/Q1 Predictions Mean,trainer/Policy log std Mean,trainer/Q2 Predictions Mean,time/training (s)
-4.02009,0.00138541,-3.52339,19.6378,-0.0,1,-0.598992,0.9997000694274902,-4668.22612782,0.0,0.301607,0.0182255,-528.341467762,-8.4792719395,1000,5,-0.00548060306597,376.383199389,6.24699896434322e-06,1.1806,-7.7239,1000,4.0457,2.1126222225,0.000357739,1.87502,0.0005158570020284969,-5176.8662399,-2.81584,24.433609007995983,0.00424657,0.01725268399968627,-3.76134e-05,-0.00955853,-528.341467762,-2.3073698598,0,0.0,0.0,-5796.83326936,5,1.0057,0.00066347,1000.0,1.39251,0.000393656,-528.341467762,18.1836114109974,-5176.8662399,3.19287,100,-0.000954227,-5.1768662399,0.00130914,0.0641191329996218,-528.341467762,-1.35135,0.000831992,-1.34664,-1.83549,-0.10612,-5.28341467762,-0.000873851,100.0,0.01498070799789275,1,2.4608278769992467,19.7002,-7.26504716061,1.33969375741,100,-0.00201915,5000,0.000739378,0,100,-0.0048233,9.37892e-05,0.00261361,15.62590890499996
-18.0948,7.58607,-4.80737,1.36712,-0.6283463835716248,1,1.7978,0.7534352540969849,-506.093508996,0.0,1.18928,-0.583162,-157.189118254,-7.25398454492,1000,10,-0.00313095526607,1522.59862026,1.4310000551631674e-05,1.14658,-30.6773,1000,3.69967,1.59482842782,0.209755,7.55689,0.0006278399996517692,-3550.99998506,-3.64484,49.140112858000066,1.89888,0.015287321002688259,-0.829047,-31.365,-157.189118254,-0.00317006797126,0,0.0,0.0,-4347.44728038,5,1.02642,-0.302329,1000.0,1.71819,-31.4727,-157.189118254,24.70033273500667,-3550.99998506,2.55318,100,3.07394,-3.55099998506,-0.243379,0.07774597400202765,-157.189118254,-0.221265,0.0521202,15.8859,-5.62933,-0.424447,-1.57189118254,-1.10916,100.0,0.014936780000425642,2,3.2597508520011615,1.38235,-5.48248218425,1.23658826593,100,-0.444492,10000,7.59162,1,200,-17.9383,-0.349607,-17.9865,21.331969658000162
-27.7649,13.719,-4.45985,3.46929,-0.5602331757545471,1,3.14532,0.6238502264022827,-676.211387412,0.0,1.53578,-0.448069,-85.5526238137,-7.19984817016,1000,15,-0.00100263240517,1405.61965026,1.1199997970834374e-05,1.03155,-48.9037,1000,3.3018,1.54971899321,0.328892,13.8633,0.000640381003904622,-1434.41147771,-2.70799,75.67303816200001,3.88207,0.01567330399848288,-1.16328,-50.7417,-85.5526238137,-0.0177034896369,0,0.0,0.0,-4242.45420105,5,1.01677,-0.219848,1000.0,3.8492,-51.2591,-85.5526238137,26.52836752300209,-1434.41147771,2.22547,100,5.37663,-1.43441147771,-0.26042,0.07476764300008654,-85.5526238137,0.812257,0.094527,24.0486,-5.89455,-0.47024,-0.855526238137,-1.67928,100.0,0.013151011000445578,3,3.0916924470002414,3.61706,-2.70648007034,0.681188123024,100,-0.674787,15000,13.7398,2,300,-27.8142,-0.54955,-27.8985,23.332431537000957
-25.8521,16.7298,-4.42936,4.06079,-0.5710307955741882,1,3.99418,0.5297850370407104,-793.586341072,0.0,1.61156,-0.286351,-117.956605962,-7.12906969208,1000,20,-0.000788714105687,54.259549144,6.976002623559907e-06,1.17987,-53.0112,1000,3.16759,0.713136655987,0.486589,16.8679,0.0006266570017032791,-850.386147985,-3.18275,100.38523602000714,4.8082,0.012184336999780498,-1.15913,-53.4108,-117.956605962,-0.00573191007596,0,0.0,0.0,-950.309107819,5,1.02503,0.0220799,1000.0,4.64826,-54.2207,-117.956605962,24.707022304999555,-850.386147985,2.33091,100,6.00171,-0.850386147985,-0.254567,0.06934549899960984,-117.956605962,1.10089,0.138982,21.3828,-5.9426,-0.460185,-1.17956605962,-1.87692,100.0,0.01392084999679355,4,2.9454298589989776,4.21838,-6.45047902832,1.22278002234,100,-0.809519,20000,16.6973,3,400,-25.9296,-0.625592,-25.9612,21.665508127000066
-21.5243,15.8409,-4.14344,3.5829,-0.6623474359512329,1,4.42454,0.4411211609840393,-815.541733343,0.0,1.64839,-0.499506,-140.525086404,-6.9729812246,1000,25,-0.000905320258622,1640.08114013,6.723999831592664e-06,1.10455,-50.1246,1000,3.81289,1.74908062242,0.509381,16.1626,0.0006208070008142386,-2194.14141091,-3.66404,125.60418991900951,5.08771,0.0122373800004425,-1.21864,-49.6043,-140.525086404,-0.0198503684876,0,0.0,0.0,-4224.14021703,5,1.0545,0.0791702,1000.0,4.77629,-50.4433,-140.525086404,25.21317937999993,-2194.14141091,2.74447,100,5.22002,-2.19414141091,-0.211944,0.07169724800041877,-140.525086404,1.19052,0.14015,16.8116,-3.77329,-0.300133,-1.40525086404,-2.00146,100.0,0.013796051000099396,5,2.9269944910010963,3.59854,-5.94760773386,0.980502254968,100,-0.796257,25000,15.9368,4,500,-21.25,-0.644265,-21.4523,22.187826678997226
-22.777,14.2043,-4.18672,3.02672,-0.6569762229919434,1,4.65336,0.35548555850982666,-627.467318334,0.0,1.74764,-0.659145,-95.9407845866,-7.05840537609,1000,30,-0.00182192815696,1740.16809174,6.129997927928343e-06,1.07525,-46.4323,1000,3.22171,1.80745785998,0.512564,13.9654,0.000615111999650253,-2768.71787655,-2.6842,150.16867888401248,4.0048,0.011835784000140848,-1.21399,-46.6369,-95.9407845866,-0.0148974736907,0,0.0,0.0,-4192.26333584,5,1.0225,0.180889,1000.0,4.14131,-46.9788,-95.9407845866,24.559755067999504,-2768.71787655,2.88674,100,4.05086,-2.76871787655,-0.208029,0.06934357100180932,-95.9407845866,1.36465,0.149198,18.7628,-6.42632,-0.412125,-0.959407845866,-1.90642,100.0,0.013394796998909442,6,2.9896300330001395,2.88869,-5.71629201577,0.962349513425,100,-0.854443,30000,14.198,5,600,-22.6032,-0.624535,-22.6668,21.474929641000926
-23.4927,14.5421,-4.72224,1.74578,-0.4200950264930725,1,5.23262,0.2900908589363098,-381.989306664,0.0,1.73237,-0.660441,-103.086747768,-6.68809939149,1000,35,-0.000562805261591,81.2765572055,7.356000423897058e-06,1.01555,-45.6577,1000,3.41879,0.604615227154,0.480823,14.4585,0.0006303299996943679,-450.697035542,-3.51033,173.41237873101272,3.1457,0.013325897998583969,-1.3524,-46.5867,-103.086747768,-0.0191149750307,0,0.0,0.0,-603.739214425,5,1.00658,-0.121821,1000.0,2.75578,-46.5665,-103.086747768,23.238832580002054,-450.697035542,2.78389,100,3.03644,-0.450697035542,-0.0715581,0.07228407500224421,-103.086747768,1.6605,0.153737,19.9185,-5.6756,-0.605767,-1.03086747768,-2.1047,100.0,0.014230832002795069,7,2.6200670990001527,1.75667,-7.13534617645,1.34011312747,100,-0.884336,35000,14.5761,6,700,-23.624,-0.641817,-23.5729,20.51828698999816
-23.8953,14.6139,-4.62411,1.65299,-0.15464505553245544,1,5.3188,0.24785242974758148,-370.471772043,0.0,1.75315,-0.708248,-54.7167326871,-7.76392808959,1000,40,-0.00080541235052,1514.1626632,6.823996955063194e-06,1.06493,-47.9459,1000,3.37254,1.60902093225,0.485611,14.5382,0.0006447209998441394,-1173.52391411,-3.3344,199.27930460800417,2.10982,0.012371968001389178,-1.40212,-48.7772,-54.7167326871,-0.000994502366437,0,0.0,0.0,-4201.38174952,5,1.00454,-0.153704,1000.0,1.96907,-49.0594,-54.7167326871,25.861928026992246,-1173.52391411,2.48504,100,2.10067,-1.17352391411,-0.00912149,0.06477380999785964,-54.7167326871,1.88913,0.172329,21.5712,-4.27536,-0.750087,-0.547167326871,-2.15401,100.0,0.01333331799833104,8,2.7379458809991775,1.70846,-3.95257324378,0.812274760226,100,-0.924337,40000,14.57,7,800,-24.1763,-0.643969,-24.177,23.03285150499869
-25.7241,16.157,-4.48479,1.87908,0.06598856300115585,1,5.41055,0.22455918788909912,-387.951367536,0.0,1.73521,-0.67767,-84.6944054001,-7.21658664583,1000,45,-0.000159147222747,1863.91800023,7.4689996836241335e-06,1.05698,-51.9708,1000,3.84893,1.93315478771,0.474828,16.1342,0.0006168270010675769,-1944.91073595,-2.97225,223.83499317800306,2.55337,0.012279418999241898,-1.42934,-53.1809,-84.6944054001,-0.00535987502471,0,0.0,0.0,-4252.42686673,5,1.02322,0.163965,1000.0,1.74717,-52.5327,-84.6944054001,24.54934838600093,-1944.91073595,3.45779,100,3.07868,-1.94491073595,0.0612559,0.06620540600124514,-84.6944054001,2.04418,0.174994,22.6234,-2.8998,-0.534073,-0.846944054001,-2.20517,100.0,0.013364152000576723,9,2.787860060998355,1.78764,-4.46296622443,1.02903073633,100,-0.952117,45000,16.1294,8,900,-25.2705,-0.674256,-25.3791,21.66901505200076
-27.5413,17.5576,-4.00287,3.90588,-0.2144903689622879,1,5.50951,0.21290941536426544,-379.358189263,0.0,1.97276,-0.655113,-53.5598014263,-6.64606119344,1000,50,-0.000269957438089,1520.52878051,6.654998287558556e-06,1.08339,-56.0886,1000,3.29225,1.63115312456,0.514327,17.7245,0.0006280480010900646,-1218.19104221,-3.02524,247.98725964400364,1.86692,0.012239902996952878,-1.41524,-57.1553,-53.5598014263,-0.00311003996425,0,0.0,0.0,-4256.44192593,5,1.02319,0.267326,1000.0,1.73714,-57.8856,-53.5598014263,24.14675924299445,-1218.19104221,2.26613,100,1.88728,-1.21819104221,0.0612979,0.07234978700216743,-53.5598014263,1.86133,0.169623,24.8946,-6.20913,-0.667907,-0.535598014263,-2.28291,100.0,0.013365563998377183,10,2.877915805998782,3.98498,-3.46584257844,0.629986916858,100,-0.922256,50000,17.6369,9,1000,-27.7875,-0.651191,-27.7546,21.17025347999879
