trainer/Log Pis Std,exploration/num steps total,evaluation/num steps total,exploration/Actions Max,evaluation/path length Mean,exploration/Returns Max,evaluation/path length Min,time/exploration real sampling (s),trainer/Q Targets Min,trainer/Q2 Predictions Min,time/training (s),evaluation/path length Std,time/epoch (s),evaluation/Rewards Max,trainer/Log Pis Max,evaluation/Returns Mean,trainer/Q1 Predictions Min,time/evaluation sampling (s),trainer/Alpha,exploration/Returns Min,trainer/Policy log std Min,time/logging (s),trainer/Alpha Loss,trainer/Q Targets Std,trainer/Policy mu Max,Epoch,exploration/Num Paths,trainer/Policy log std Std,evaluation/Rewards Std,exploration/Average Returns,exploration/path length Max,exploration/Rewards Max,exploration/path length Min,exploration/Rewards Std,exploration/Rewards Min,exploration/num paths total,exploration/path length Std,time/data storing (s),evaluation/Actions Min,trainer/Q2 Predictions Max,time/total (s),evaluation/Rewards Min,trainer/Policy log std Mean,trainer/Q2 Predictions Std,trainer/Q1 Predictions Mean,exploration/path length Mean,trainer/Policy mu Min,evaluation/Average Returns,trainer/Q Targets Max,exploration/Actions Min,replay_buffer/size,trainer/Log Pis Mean,evaluation/Num Paths,trainer/QF2 Loss,trainer/Log Pis Min,time/exploration sim sampling (s),evaluation/Returns Max,exploration/Actions Std,trainer/Q1 Predictions Std,evaluation/Actions Mean,trainer/Q Targets Mean,trainer/Policy mu Mean,trainer/Q2 Predictions Mean,exploration/Returns Std,evaluation/Returns Min,trainer/Policy mu Std,trainer/Policy Loss,trainer/Policy log std Max,exploration/Returns Mean,trainer/Q1 Predictions Max,evaluation/Actions Max,exploration/Actions Mean,evaluation/Returns Std,evaluation/Actions Std,evaluation/path length Max,exploration/Rewards Mean,evaluation/num paths total,trainer/QF1 Loss,evaluation/Rewards Mean,time/saving (s)
0.31831,100,5000,3.01891,1000.0,-558.415825312,1000,0.06438588600576622,-7.87589,-0.00262513,16.36923812999885,0.0,19.1413365870103,-0.0301845396291,-0.581365,-5384.13718622,0.00456988,2.6841507550052484,0.9997000694274902,-558.415825312,-0.00159169,0.010654924000846222,-0.0,2.31254,0.00037044,0,1,0.00055809,1.82475606328,-558.415825312,100,-0.0244947343493,100,2.53815450516,-9.62947011499,1,0.0,0.0004969489964423701,-3.52036,0.000861524,19.98482831000001,-8.48152569667,-0.000449511,0.00080086,0.00686314,100.0,-0.000700469,-5384.13718622,1.58361,-2.71959,0,-1.33334,5,19.4309,-1.97293,5.861998943146318e-06,-4818.71624357,1.1614,0.00105353,-0.00241139,-3.75331,-0.000166976,-0.000818429,0.0,-6255.65231517,0.000288361,-1.33257,0.000386469,-558.415825312,0.00933575,4.61081,0.0974618,598.638500501,1.01273,1000,-5.58415825312,5,19.4911,-5.38413718622,0.012404081004206091
1.18284,200,10000,3.11452,1000.0,-182.317036732,1000,0.07684772300126497,-34.7926,-35.3795,20.3214834130049,0.0,23.381401015998563,-0.00109726692068,1.7779,-1371.10891775,-35.1772,2.9567997829944943,0.7534905076026917,-182.317036732,-0.438342,0.01427906999742845,-0.6646695137023926,10.0433,-0.284899,1,1,0.0428336,1.61673136573,-182.317036732,100,-0.00714149855935,100,2.18540397878,-9.11154065173,2,0.0,0.0006310219978331588,-4.32215,2.7252,43.370579646994884,-7.19154740125,-0.357077,9.91572,-17.2059,100.0,-1.07848,-1371.10891775,2.41996,-4.28786,0,-0.350333,5,1.13202,-5.03822,6.61900412524119e-06,-509.387710818,1.13266,9.92112,-0.516741,-17.1682,-0.805883,-17.2301,0.0,-4294.60085069,0.202059,15.1888,-0.221947,-182.317036732,2.79308,3.75766,-0.432839,1464.37048772,0.997465,1000,-1.82317036732,10,1.17631,-1.37110891775,0.011353385998518206
1.41341,300,15000,2.87006,1000.0,-91.822503673,1000,0.0679202510000323,-50.897,-51.8045,21.075875900001847,0.0,23.993733190989587,-0.000605620012335,3.20288,-2779.6081138,-51.8515,2.8233262679932523,0.615945041179657,-91.822503673,-0.726774,0.0145128400035901,-0.577004075050354,18.4136,-0.240895,2,1,0.0784778,1.81234708829,-91.822503673,100,-0.0105396681904,100,0.748578639212,-3.10746899458,3,0.0,0.000608634996751789,-4.39001,4.56965,67.36959796899464,-7.00595546002,-0.607151,18.3228,-23.6579,100.0,-1.62757,-2779.6081138,4.13754,-3.48654,0,0.808884,5,2.23245,-2.60563,6.260997906792909e-06,-612.540831609,1.13849,18.3206,-0.6393,-23.6384,-1.07992,-23.6119,0.0,-4228.61204395,0.381144,20.488,-0.366466,-91.822503673,4.72263,3.64899,-0.458633,1748.60595012,1.01442,1000,-0.91822503673,15,2.23443,-2.7796081138,0.011483035996207036
1.5867,400,20000,2.45523,1000.0,-117.820875033,1000,0.07129170600092039,-52.2341,-55.0372,21.995893062994583,0.0,25.138974850015074,-0.00166530186649,3.72426,-2830.48318657,-54.8567,3.0447373460046947,0.505216658115387,-117.820875033,-0.836612,0.01402207399951294,-0.7573883533477783,21.0777,-0.0178479,3,1,0.153496,1.79557352972,-117.820875033,100,-0.00363502189749,100,0.948190162846,-5.33874093871,4,0.0,0.0006315860082395375,-4.41178,4.98185,92.51408553501096,-6.98162596626,-0.658396,21.0826,-21.9575,100.0,-1.81583,-2830.48318657,4.79178,-3.30905,0,0.890389,5,3.30469,-4.62717,5.983005394227803e-06,-724.437594231,1.06447,21.1185,-0.57359,-21.9189,-1.03635,-21.9235,0.0,-4243.31114828,0.514704,17.2546,-0.238868,-117.820875033,5.32257,3.19783,-0.379933,1711.33988262,1.03503,1000,-1.17820875033,20,3.1812,-2.83048318657,0.01239309200173011
1.56331,500,25000,2.05526,1000.0,-75.3841549726,1000,0.06555845000548288,-48.4398,-48.9725,22.18192224399536,0.0,25.332451099995524,-0.0017638911651,3.82555,-2816.94970836,-48.4867,3.045898122996732,0.3987482786178589,-75.3841549726,-0.970106,0.016351676000340376,-1.2592380046844482,18.7889,-0.092867,4,1,0.164519,1.83336412572,-75.3841549726,100,-0.00316905890234,100,0.702842148038,-3.01725567099,5,0.0,0.0005937259993515909,-3.86229,4.75314,117.85211238501506,-6.57936399412,-0.686041,18.5898,-15.7955,100.0,-1.97639,-2816.94970836,4.47895,-2.75918,0,0.63003,5,2.07552,-4.19272,6.449998181778938e-06,-595.646483382,1.08029,18.542,-0.552978,-16.176,-0.952898,-15.7814,0.0,-4266.18704929,0.511447,11.76,-0.318306,-75.3841549726,4.76007,3.76293,-0.531242,1754.49736786,1.03076,1000,-0.753841549726,25,2.05734,-2.81694970836,0.02212043100007577
1.68151,600,30000,3.30995,1000.0,-134.554297843,1000,0.09942140699422453,-44.5423,-43.6145,22.33064466299402,0.0,25.91428385199106,-0.00107257121117,4.05674,-2070.11430634,-43.8327,3.4549232330027735,0.3066592216491699,-134.554297843,-1.1161,0.015142668999033049,-1.587868571281433,16.3481,0.073863,5,1,0.165202,1.9276820189,-134.554297843,100,-0.00548277801819,100,1.6193799126,-7.03830204279,6,0.0,0.0006374020013026893,-4.17491,3.98109,143.7712394629998,-6.80833199613,-0.734289,16.4704,-15.1989,100.0,-1.90471,-2070.11430634,3.78482,-3.2583,0,0.656354,5,1.64134,-4.01481,6.54299947200343e-06,-566.268816364,1.12203,16.4501,-0.537794,-14.9717,-0.989217,-15.1602,0.0,-4320.63914185,0.507329,11.859,-0.328045,-134.554297843,4.00837,3.11614,-0.43497,1829.84754621,1.02882,1000,-1.34554297843,30,1.66683,-2.07011430634,0.013507935000234284
1.58184,700,35000,2.36614,1000.0,-104.857158263,1000,0.11146784099400975,-47.4035,-44.2852,21.987839408000582,0.0,25.354233709993423,-0.0021440817907,4.41714,-2846.24330291,-44.6674,3.227986657002475,0.23746097087860107,-104.857158263,-1.28319,0.014098528001341037,-1.2029054164886475,15.8823,0.132226,6,1,0.177408,1.90003611237,-104.857158263,100,-0.00828290951037,100,0.903247898686,-4.02124445388,7,0.0,0.0006486779893748462,-5.19883,3.14164,169.13104264800495,-7.14149452747,-0.7921,15.7763,-15.2407,100.0,-2.06714,-2846.24330291,3.29951,-3.36888,0,1.1632,5,1.39269,-2.86601,1.2364005669951439e-05,-556.451176554,1.11424,15.7696,-0.558171,-15.153,-1.05292,-15.2196,0.0,-4340.10351452,0.521009,12.0643,-0.352471,-104.857158263,3.32705,3.28825,-0.427458,1810.71290032,1.05063,1000,-1.04857158263,35,1.4336,-2.84624330291,0.012180233999970369
1.75197,800,40000,2.23315,1000.0,-77.2465183503,1000,0.06795410499762511,-40.393,-42.6327,20.99874780800019,0.0,23.99224083599256,-0.00087002910692,4.91862,-2758.11643833,-42.8327,2.8927308170023025,0.18664947152137756,-77.2465183503,-1.39893,0.012852617997850757,-1.350723147392273,15.5589,0.031877,7,1,0.18859,1.92581904339,-77.2465183503,100,-0.00359224834415,100,1.1143795523,-5.36753786126,8,0.0,0.0006029650030541234,-5.05028,3.47502,193.12779982199572,-6.32082324022,-0.818138,15.6125,-13.2846,100.0,-2.1199,-2758.11643833,2.71912,-3.38497,0,1.19519,5,1.0205,-3.83166,6.650996510870755e-06,-445.169787417,0.984074,15.622,-0.60044,-12.8639,-1.09358,-13.2472,0.0,-4296.74044603,0.517578,10.8324,-0.420607,-77.2465183503,2.87759,3.05997,-0.581988,1874.99921512,1.05138,1000,-0.772465183503,40,1.11853,-2.75811643833,0.019345871995028574
1.82395,900,45000,2.14288,1000.0,-87.3228756584,1000,0.08120081999368267,-40.3881,-39.9532,19.525363601002027,0.0,22.78987694499665,-0.00112948132287,5.48313,-2783.56649715,-39.6705,3.1564070300009917,0.14842092990875244,-87.3228756584,-1.52125,0.013872830000764225,-0.8108652830123901,14.4963,0.0599169,8,1,0.184613,1.93779856316,-87.3228756584,100,-0.00275496068498,100,1.09189866592,-6.46058211465,9,0.0,0.0006302530018729158,-4.47567,1.82269,215.9226671659926,-6.93022377254,-0.862242,14.4063,-13.4936,100.0,-2.27331,-2783.56649715,1.87601,-3.60738,0,1.57491,5,1.22186,-3.36264,7.117996574379504e-06,-460.996054237,1.1049,14.4189,-0.579108,-13.3814,-1.21504,-13.481,0.0,-4352.65147061,0.545273,11.3968,-0.443278,-87.3228756584,1.84111,3.14799,-0.579847,1874.3455341,1.03611,1000,-0.873228756584,45,1.20439,-2.78356649715,0.012395293000736274
1.90322,1000,50000,2.46813,1000.0,-81.4838870968,1000,0.06435216899990337,-47.4287,-45.9127,21.27469287799613,0.0,24.08622883300268,-0.00241778328076,5.68851,-1260.94599138,-45.3108,2.7210065979961655,0.12068351358175278,-81.4838870968,-1.51465,0.015370200002507772,-0.5880411863327026,14.7699,0.130855,9,1,0.171113,1.65190620978,-81.4838870968,100,-0.00746388506421,100,0.943448788824,-4.76276168353,10,0.0,0.0006043750036042184,-4.51677,1.47754,240.0137017149973,-6.62646106092,-0.860791,14.745,-12.7781,100.0,-2.42913,-1260.94599138,1.25258,-3.40647,0,1.72189,5,0.613714,-3.62148,6.3300030888058245e-06,-436.896113591,0.999862,14.6946,-0.605269,-12.8917,-1.22387,-12.8246,0.0,-4334.61504502,0.577801,11.1897,-0.468856,-81.4838870968,1.4577,3.16558,-0.523739,1537.38411165,1.03231,1000,-0.814838870968,50,0.669593,-1.26094599138,0.010196283001278061
1.79849,1100,55000,2.02031,1000.0,-58.5330497238,1000,0.06666100199799985,-41.8386,-41.9684,21.15546532999724,0.0,24.194194574993162,-0.000503804865598,5.93044,-2025.62818942,-42.2158,2.9407357739983127,0.10073008388280869,-58.5330497238,-1.48797,0.012919660002808087,-1.1566615104675293,14.6329,-0.0955966,10,1,0.167447,1.98820920407,-58.5330497238,100,-0.0146625888758,100,0.613934107766,-3.36078366788,11,0.0,0.0006254959953366779,-5.00635,0.759543,264.21470040499844,-6.64899858158,-0.819643,14.7116,-12.1208,100.0,-2.48516,-2025.62818942,0.739488,-2.489,0,1.49605,5,0.573313,-4.52419,6.865004252176732e-06,-410.35040978,0.952333,14.7007,-0.579083,-11.9111,-1.23146,-12.0929,0.0,-4432.38494142,0.568903,10.7288,-0.507877,-58.5330497238,0.711328,3.61271,-0.544742,1936.68374409,1.05585,1000,-0.585330497238,55,0.633132,-2.02562818942,0.017780447997211013
1.92776,1200,60000,2.72188,1000.0,-92.2326289184,1000,0.07829142400441924,-40.5912,-40.7947,20.448934777996328,0.0,23.431162586006394,-0.00218573198112,5.60738,-2826.96521254,-40.6819,2.877501023998775,0.08826452493667603,-92.2326289184,-1.61547,0.013508940995961893,-1.0940723419189453,14.1201,0.350659,11,1,0.223723,1.95458915249,-92.2326289184,100,-0.00454158363679,100,1.01625644069,-4.63824957033,12,0.0,0.0006074230041122064,-4.38617,0.476751,287.6518644950047,-6.95320306913,-0.90176,13.9487,-12.0352,100.0,-2.473,-2826.96521254,0.298906,-3.89557,0,1.54927,5,0.669273,-5.54212,6.481001037172973e-06,-449.3687631,1.11512,13.988,-0.557617,-12.2859,-1.16939,-12.0407,0.0,-4397.12443147,0.628939,10.4808,-0.460187,-92.2326289184,0.51333,3.54898,-0.584978,1881.50773817,1.07577,1000,-0.922326289184,60,0.68451,-2.82696521254,0.01231251500576036
2.0132,1300,65000,2.04885,1000.0,-46.0702854244,1000,0.065047730000515,-42.2747,-41.2629,20.801936290001322,0.0,23.78500171799533,-0.000690270032828,6.83753,-2773.18238389,-40.623,2.8917617769984645,0.0835588201880455,-46.0702854244,-1.64937,0.01456299499841407,-0.07545153796672821,14.3624,0.320703,12,1,0.259011,1.9440619684,-46.0702854244,100,-0.00383059196914,100,0.501018911045,-3.01250546624,13,0.0,0.0006080009989091195,-4.98528,0.308103,311.4422659359989,-6.78777358792,-0.914861,14.2512,-12.1082,100.0,-2.64063,-2773.18238389,-0.0982016,-2.83439,0,1.9696,5,0.784834,-3.51144,7.657996320631355e-06,-449.207585084,0.924111,14.1923,-0.577544,-12.1187,-1.2704,-12.1394,0.0,-4328.99953512,0.651873,11.0721,-0.405913,-46.0702854244,0.10989,3.19915,-0.573542,1894.30617999,1.08017,1000,-0.460702854244,65,0.877402,-2.77318238389,0.011077267001383007
1.84202,1400,70000,2.15318,1000.0,-78.1027598852,1000,0.0646440279961098,-41.7925,-41.676,21.538851581004565,0.0,24.70854263700312,-0.000298919337353,6.08612,-2110.25662176,-41.592,3.0773886300012236,0.08050893992185593,-78.1027598852,-1.60138,0.013947013998404145,0.13955065608024597,13.4938,0.271678,13,1,0.273286,1.98759380993,-78.1027598852,100,-0.00701187581126,100,1.15529959552,-7.21370434021,14,0.0,0.0006224630051292479,-4.74307,0.216163,336.1565013230065,-6.95970779677,-0.93093,13.473,-11.4218,100.0,-2.72812,-2110.25662176,-0.443836,-5.65759,0,2.05539,5,0.378958,-2.80767,6.6450011217966676e-06,-430.44238003,1.10953,13.4401,-0.599905,-11.3731,-1.23836,-11.4193,0.0,-4404.08088726,0.664359,10.8617,-0.52222,-78.1027598852,-0.427633,3.48354,-0.660752,1857.42648446,1.07288,1000,-0.781027598852,70,0.510037,-2.11025662176,0.01308227599656675
1.91559,1500,75000,2.05668,1000.0,-49.551835325,1000,0.06416088699916145,-41.8499,-42.9776,21.60407918800047,0.0,24.647634638989985,-0.00104511762792,6.59627,-1335.52806302,-43.5705,2.9515200539972284,0.0784994512796402,-49.551835325,-1.90425,0.014092632998654153,0.0811510682106018,13.6541,0.548854,14,1,0.311217,1.68792066707,-49.551835325,100,-0.00864488825881,100,0.630182886222,-3.91083554383,15,0.0,0.0005932659914833494,-4.63018,-0.444675,360.81054542099446,-7.65231800097,-0.965991,13.84,-11.7406,100.0,-2.62736,-1335.52806302,-0.663833,-3.19894,0,2.03189,5,0.548029,-3.43978,6.319001840893179e-06,-429.711649582,0.986615,13.8995,-0.622319,-11.4963,-1.23238,-11.6924,0.0,-4387.02869404,0.691125,10.957,-0.580049,-49.551835325,-0.783824,3.26035,-0.641516,1539.09860962,1.05127,1000,-0.49551835325,75,0.6856,-1.33552806302,0.013182292001147289
1.85493,1600,80000,2.83792,1000.0,-106.696236079,1000,0.06914078500267351,-44.3822,-44.1018,21.588237560004927,0.0,24.53877136902156,-0.000252767084399,6.27355,-2044.08800733,-44.0437,2.85417364800378,0.07626958191394806,-106.696236079,-1.55557,0.013546202004363295,-0.409791499376297,12.1582,0.471875,15,1,0.278584,1.97799301404,-106.696236079,100,-0.00970511162273,100,1.12201241838,-4.89458074618,16,0.0,0.0006140860059531406,-4.12723,-0.888618,385.3551342200153,-7.2567824168,-0.912259,12.1509,-9.60197,100.0,-2.76534,-2044.08800733,-1.08444,-3.8132,0,1.84077,5,0.339326,-3.29062,6.590998964384198e-06,-488.43948718,1.12246,12.1139,-0.598503,-9.59282,-1.21064,-9.6114,0.0,-4369.15479866,0.674823,9.32899,-0.488477,-106.696236079,-0.840765,3.31385,-0.517925,1894.8000324,1.06652,1000,-1.06696236079,80,0.369266,-2.04408800733,0.013052497000899166
1.90586,1700,85000,2.3791,1000.0,-57.9423591911,1000,0.0696878060043673,-46.8926,-44.4821,21.640139775001444,0.0,24.843765415003872,-0.0003502466889,6.47217,-2857.51053514,-44.3783,3.1074265009956434,0.07419732213020325,-57.9423591911,-1.62416,0.013983928001835011,0.3638414144515991,14.2285,0.690125,16,1,0.287068,1.99646437385,-57.9423591911,100,-0.0163975750438,100,0.758161429219,-4.78278035348,17,0.0,0.0006299570013652556,-4.9895,-1.45794,410.20480273001886,-7.08716634945,-0.895732,14.1124,-12.5145,100.0,-2.789,-2857.51053514,-1.32259,-3.813,0,2.13988,5,0.384404,-5.06981,8.362003427464515e-06,-460.563328015,1.0527,14.1284,-0.551007,-12.5003,-1.31959,-12.4852,0.0,-4460.52260569,0.709782,12.099,-0.3824,-57.9423591911,-1.42686,3.26294,-0.589372,1939.35756543,1.10336,1000,-0.579423591911,85,0.523257,-2.85751053514,0.011889085995790083
1.92901,1800,90000,1.93851,1000.0,-75.8809438831,1000,0.06583060599950841,-43.0123,-41.2128,22.094111076003173,0.0,24.99499583000579,-0.000665404854261,6.97904,-2079.29828055,-40.3868,2.806927886005724,0.07210655510425568,-75.8809438831,-1.8593,0.013117964001139626,-0.2894272208213806,13.4641,0.788287,17,1,0.30398,2.0152047269,-75.8809438831,100,-0.00193083395864,100,1.11435675241,-5.09031266434,18,0.0,0.0005985969983157702,-4.26432,-1.8513,435.2058572100141,-6.93515919619,-0.965715,13.4068,-12.3436,100.0,-2.8307,-2079.29828055,-1.74825,-3.20596,0,1.88993,5,0.80292,-4.42684,6.42200029687956e-06,-435.859543678,1.00348,13.3388,-0.548451,-12.4776,-1.21329,-12.4698,0.0,-4480.69825027,0.737202,11.9584,-0.328007,-75.8809438831,-1.77204,3.43335,-0.618052,1945.3367063,1.07172,1000,-0.758809438831,90,0.913938,-2.07929828055,0.014403278997633606
2.11154,1900,95000,3.36824,1000.0,-68.2030169477,1000,0.06668897600320634,-43.033,-42.5083,21.543663643999025,0.0,24.523230971004523,-0.000586244463827,6.66162,-2060.07938129,-42.6616,2.8869963550023385,0.07074392586946487,-68.2030169477,-1.79297,0.014258971001254395,-0.24069976806640625,12.7506,0.794481,18,1,0.303716,1.99835985391,-68.2030169477,100,-0.00435843108875,100,0.70225075153,-3.72497315595,19,0.0,0.0006309249947662465,-4.70478,-2.15987,459.7357715530161,-6.22489535369,-0.948613,12.8675,-11.6328,100.0,-2.76308,-2060.07938129,-2.12902,-3.47581,0,1.90912,5,0.370681,-3.66575,6.578004104085267e-06,-434.842989051,1.05567,12.8377,-0.563581,-11.4695,-1.18338,-11.6236,0.0,-4422.98760916,0.743988,11.2588,-0.390416,-68.2030169477,-2.11487,3.5478,-0.545509,1927.71335511,1.09153,1000,-0.682030169477,95,0.386555,-2.06007938129,0.010985521999828052
2.11574,2000,100000,2.1811,1000.0,-71.7550884573,1000,0.06627682899852516,-43.2608,-43.4075,21.39368557799753,0.0,24.33043467400421,-0.00127475315855,7.24176,-2083.24365956,-43.1234,2.8424192320017028,0.07059187442064285,-71.7550884573,-1.96856,0.013635190000059083,-0.24780109524726868,12.6083,0.811167,19,1,0.307555,2.00163656879,-71.7550884573,100,-0.0199689340447,100,0.73506567984,-3.27132318531,20,0.0,0.0005883040066692047,-4.65044,-2.26427,484.07163708302687,-7.13795443299,-0.906429,12.5768,-10.9099,100.0,-2.8597,-2083.24365956,-2.39247,-3.32651,0,1.90652,5,0.460865,-5.68579,6.520000169984996e-06,-463.082366776,1.09375,12.5539,-0.566611,-11.0621,-1.2352,-10.8975,0.0,-4451.90172647,0.71719,10.5943,-0.283076,-71.7550884573,-2.37681,4.01977,-0.521441,1916.70208735,1.0934,1000,-0.717550884573,100,0.494515,-2.08324365956,0.013823020999552682
2.13419,2100,105000,2.30474,1000.0,-58.2136317616,1000,0.0659075750008924,-50.7754,-50.1613,21.657694472000003,0.0,24.49817626199365,-0.000530795025997,7.17702,-1335.26140251,-49.8775,2.7472363659981056,0.0693979486823082,-58.2136317616,-1.94368,0.013267319998703897,0.8570273518562317,13.8985,0.676528,20,1,0.327118,1.69673917682,-58.2136317616,100,-0.00396544634336,100,0.664269472913,-2.96927483595,21,0.0,0.0006304369962890632,-4.57113,-2.64532,508.57451445302286,-7.74648705562,-0.914149,13.834,-12.9732,100.0,-3.16612,-1335.26140251,-2.67506,-3.81707,0,2.32123,5,0.623367,-3.34452,6.40399957774207e-06,-417.681965682,1.06653,13.8597,-0.603298,-12.9142,-1.32796,-12.9419,0.0,-4381.40919882,0.779489,12.6645,-0.358695,-58.2136317616,-2.6076,4.19275,-0.617211,1528.58305087,1.0503,1000,-0.582136317616,105,0.689234,-1.33526140251,0.013433688000077382
