trainer/Q2 Predictions Max,time/saving (s),time/logging (s),evaluation/Rewards Max,exploration/Num Paths,trainer/Q2 Predictions Min,exploration/num paths total,evaluation/Num Paths,evaluation/Rewards Std,evaluation/Returns Min,exploration/Rewards Std,trainer/Alpha,trainer/Policy mu Std,trainer/Q Targets Min,trainer/Q Targets Mean,exploration/Actions Min,evaluation/Returns Std,Epoch,evaluation/Actions Max,trainer/Policy log std Std,exploration/Returns Std,trainer/QF1 Loss,exploration/Actions Std,exploration/path length Min,trainer/Policy log std Mean,time/training (s),trainer/Log Pis Std,trainer/Q1 Predictions Std,evaluation/num paths total,evaluation/Actions Mean,time/data storing (s),evaluation/Actions Min,trainer/Q Targets Max,trainer/QF2 Loss,exploration/path length Max,evaluation/path length Std,trainer/Q1 Predictions Min,evaluation/Returns Mean,exploration/Rewards Mean,exploration/path length Std,exploration/Rewards Min,exploration/Average Returns,trainer/Policy Loss,exploration/Returns Mean,evaluation/num steps total,trainer/Policy mu Max,trainer/Policy log std Min,evaluation/Average Returns,trainer/Policy log std Max,time/exploration sim sampling (s),trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Min,replay_buffer/size,exploration/path length Mean,exploration/Actions Mean,evaluation/path length Max,time/total (s),exploration/Rewards Max,time/exploration real sampling (s),trainer/Q1 Predictions Mean,trainer/Q Targets Std,trainer/Q2 Predictions Mean,exploration/Returns Max,trainer/Log Pis Max,trainer/Log Pis Mean,exploration/num steps total,evaluation/path length Mean,exploration/Actions Max,trainer/Q1 Predictions Max,evaluation/Rewards Min,evaluation/Rewards Mean,evaluation/Actions Std,evaluation/Returns Max,evaluation/path length Min,time/epoch (s),trainer/Q2 Predictions Std,time/evaluation sampling (s),exploration/Returns Min,trainer/Alpha Loss
0.00188616,0.011830508010461926,0.009563430998241529,-0.00284127610261,1,-0.00344556,1,5,2.00295432887,-5821.57530593,2.534915616,0.9997000694274902,0.000638492,-6.99568,-3.55769,-2.92248,626.696636184,0,3.71034,0.000487191,0.0,16.2894,1.23723,100,-0.000730214,15.508334323996678,0.315338,0.00137833,5,-0.0127769,0.0004695759998867288,-3.42883,1.64458,16.261,100,0.0,0.00104449,-5011.28842397,-4.35113640604,0.0,-8.47113445521,-435.113640604,-1.35651,-435.113640604,5000,0.000703929,-0.00140782,-5011.28842397,0.000592418,7.606999133713543e-06,-1.82871,-0.000462997,-0.0014428,0,100.0,0.000132694,1000,19.08599491401401,-0.408794575872,0.062086115998681635,0.00365143,1.89864,-0.000364671,-435.113640604,-0.575549,-1.35689,100,1000.0,3.32477,0.00662212,-8.4838931468,-5.01128842397,1.00013,-3898.70969666,1000,18.242801246000454,0.0010953,2.6505096839973703,-435.113640604,-0.0
1.78011,0.009299602010287344,0.01432619099796284,-0.0018146863191,1,-30.0534,2,5,1.90932761528,-4296.53308077,0.640280289114,0.7539547085762024,0.230113,-29.5042,-15.7439,-2.7879,1807.55357294,1,3.37595,0.0776488,0.0,1.091,1.01313,100,-0.328824,19.937072311004158,1.18726,8.70987,10,-0.559508,0.0006216299952939153,-4.53085,2.05562,1.12467,100,0.0,-30.0095,-2079.63956239,-0.759540324835,0.0,-3.15997310216,-75.9540324835,13.7749,-75.9540324835,10000,-0.249645,-0.476434,-2079.63956239,-0.136644,8.553994121029973e-06,-4.95798,-0.795886,-1.19901,0,100.0,-0.434967,1000,41.90051456200308,-0.00187201319838,0.06897085999662522,-15.7674,8.7346,-15.7648,-75.9540324835,1.58988,-0.420997,200,1000.0,2.65984,2.70198,-7.1733785856,-2.07963956239,1.01361,-515.526282585,1000,22.809443371006637,8.68576,2.7791442230081884,-75.9540324835,-0.68316251039505
3.70582,0.011662725999485701,0.013827198010403663,-0.00034378730637,1,-47.0719,3,5,0.6058775043,-765.99943899,1.0437087994,0.6138565540313721,0.370786,-45.3046,-19.7378,-4.06921,80.8711755368,2,4.00316,0.0895294,0.0,2.87457,1.1946,100,-0.586491,20.68188258400187,1.48079,14.8884,15,-0.461334,0.0006159119948279113,-4.47767,5.23647,2.80452,100,0.0,-47.1078,-629.479792436,-1.34876011565,0.0,-4.58254792743,-134.876011565,16.334,-134.876011565,15000,-0.309335,-0.689613,-629.479792436,-0.331604,8.447997970506549e-06,-5.82119,-1.04756,-1.65886,0,100.0,-0.509363,1000,65.39888907899149,-0.0184391631469,0.06802094000158831,-19.7793,14.8162,-19.7405,-134.876011565,3.03596,0.624818,300,1000.0,2.06811,4.15603,-5.734437869,-0.629479792436,1.0127,-542.302225821,1000,23.4913180610165,14.9121,2.715300253010355,-134.876011565,-0.670817494392395
4.55901,0.011450480000348762,0.013891132999560796,-0.000795719928026,1,-49.8993,4,5,1.84637125956,-4218.77619757,0.77175311622,0.4995422065258026,0.429597,-50.0812,-18.272,-3.71648,1753.90866704,3,3.5692,0.0980942,0.0,3.0854,1.09361,100,-0.653534,20.602302234998206,1.55569,16.8038,20,-0.594307,0.0006087769870646298,-4.73254,4.65356,3.04579,100,0.0,-49.8485,-2056.83385325,-0.774563749427,0.0,-4.65617264245,-77.4563749427,14.163,-77.4563749427,20000,-0.232433,-0.790962,-2056.83385325,-0.376902,8.713002898730338e-06,-4.84526,-1.06258,-1.90947,0,100.0,-0.464583,1000,88.90397608696367,-0.00101398069436,0.06760526499419939,-18.0954,16.9247,-18.2035,-77.4563749427,3.75084,0.81613,400,1000.0,2.45072,4.77627,-6.93569824222,-2.05683385325,1.02356,-560.617481407,1000,23.499722248976468,16.7824,2.80385564599419,-77.4563749427,-0.8214267492294312
4.70147,0.012082333996659145,0.014047470991499722,-0.00172047665308,1,-46.7699,5,5,1.83209773752,-4197.94319454,0.68394862031,0.39248061180114746,0.463305,-46.8184,-13.0891,-3.23454,1749.48004013,4,3.53227,0.112067,0.0,1.81407,1.04015,100,-0.651711,22.279071776996716,1.49937,15.1754,25,-0.595128,0.0006345889996737242,-5.16471,4.79365,1.93848,100,0.0,-46.5738,-2048.97161385,-0.715855033257,0.0,-3.14909466153,-71.5855033257,9.73806,-71.5855033257,25000,-0.0577373,-0.841204,-2048.97161385,-0.382227,9.180002962239087e-06,-4.07719,-1.02523,-1.92272,0,100.0,-0.477772,1000,114.09362414597126,-0.0113123939252,0.06972569800564088,-13.2817,15.2077,-13.2886,-71.5855033257,3.82116,0.81702,500,1000.0,2.26077,4.91209,-6.95984719821,-2.04897161385,1.03331,-607.635507387,1000,25.184923888999037,15.148,2.809352840005886,-71.5855033257,-1.1061196327209473
4.85708,0.012219739001011476,0.014047253003809601,-0.000271746886699,1,-44.6849,6,5,1.88177900554,-4236.89346405,1.18025898451,0.30157819390296936,0.470271,-45.9276,-11.1011,-3.19693,1794.39554353,5,3.24967,0.130395,0.0,1.28243,1.05147,100,-0.676897,20.403494846003014,1.62966,14.6466,30,-0.632989,0.0006327930168481544,-4.66768,4.64491,1.3761,100,0.0,-44.1217,-2029.27777657,-0.768556084223,0.0,-5.63288191796,-76.8556084223,8.65699,-76.8556084223,30000,-0.137221,-0.900262,-2029.27777657,-0.331599,9.096998837776482e-06,-4.84778,-1.08541,-2.02928,0,100.0,-0.610149,1000,137.33813062099216,-0.00314320974036,0.07366621600522194,-11.3943,14.634,-11.4026,-76.8556084223,4.42693,0.772746,600,1000.0,3.14398,4.85761,-6.95687455319,-2.02927777657,1.02102,-529.049474752,1000,23.239913723038626,14.6942,2.7358437790098833,-76.8556084223,-1.4708259105682373
4.41007,0.012207861000206321,0.01427045300079044,-0.00141632052935,1,-41.2472,7,5,1.54827276013,-4238.97250283,0.522329193142,0.2323080599308014,0.499379,-41.8631,-11.0825,-3.22239,1495.540787,6,3.11745,0.128038,0.0,1.42395,0.994924,100,-0.675914,21.71338393399492,1.64831,14.4299,35,-0.698842,0.0006110249960329384,-4.24115,4.39549,1.49418,100,0.0,-41.2919,-3466.44866036,-0.548365770328,0.0,-2.03730474521,-54.8365770328,8.36469,-54.8365770328,35000,0.0671584,-0.866791,-3466.44866036,-0.187213,8.64001049194485e-06,-3.92662,-1.09892,-2.11114,0,100.0,-0.647918,1000,162.21436339599313,-0.00770743902296,0.06658801400044467,-11.1394,14.5143,-11.1397,-54.8365770328,4.54436,0.892778,700,1000.0,1.91551,4.4429,-6.9781718966,-3.46644866036,1.04524,-475.578147948,1000,24.871561260006274,14.4223,3.0644913330033887,-54.8365770328,-1.6159162521362305
3.98931,0.011871095994138159,0.013522700988687575,-0.00215008121469,1,-41.5401,8,5,1.86955743932,-4175.47952427,1.37428766149,0.18058763444423676,0.524123,-41.3969,-9.75789,-3.05045,1752.9967788,7,3.7391,0.142913,0.0,1.19851,1.17326,100,-0.725257,20.317981346990564,1.54784,13.9992,40,-0.659566,0.0006446829938795418,-4.66821,4.01339,1.16413,100,0.0,-40.8007,-2029.14486115,-1.22986775675,0.0,-6.13205304246,-122.986775675,7.49007,-122.986775675,40000,-0.0703095,-0.933302,-2029.14486115,-0.172675,9.252005838789046e-06,-4.22539,-1.12106,-2.31021,0,100.0,-0.54856,1000,185.6412694289611,-0.0162060931589,0.06768568200641312,-9.84731,13.922,-9.84256,-122.986775675,4.52422,1.13602,800,1000.0,2.79938,4.2059,-6.69947650159,-2.02914486115,1.02506,-535.62392279,1000,23.422052218971658,14.0269,3.0103374579921365,-122.986775675,-1.4785336256027222
3.70569,0.013890384987462312,0.014252023000153713,-0.000698926421572,1,-42.4338,9,5,1.58738311568,-4197.25971798,2.10892124215,0.1444632112979889,0.534623,-41.1159,-9.26075,-3.07624,1456.23249637,8,3.44045,0.125273,0.0,1.28254,1.09676,100,-0.753507,21.444394804988406,1.76765,13.9049,45,-0.606081,0.000765016011428088,-4.73801,3.63542,1.23587,100,0.0,-41.9746,-1287.35532468,-1.3102477391,0.0,-8.13242751021,-131.02477391,7.41807,-131.02477391,45000,-0.121607,-0.934046,-1287.35532468,-0.237071,9.840994607657194e-06,-5.21896,-1.11457,-2.43571,0,100.0,-0.681523,1000,210.18889457893965,-0.00223449832658,0.07429924000462051,-9.28718,13.873,-9.25874,-131.02477391,4.82642,1.15817,900,1000.0,3.45336,3.71912,-6.15315350644,-1.28735532468,1.00903,-489.480250704,1000,24.541177468985552,13.8888,2.993566158998874,-131.02477391,-1.6285451650619507
3.24702,0.013098526993417181,0.0160422579938313,-0.000668165052548,1,-42.5573,10,5,1.87235299653,-4170.70353757,1.5035148818,0.11917614191770554,0.540122,-41.6309,-9.32645,-4.42628,1765.87038072,9,3.43595,0.1656,0.0,1.12572,1.18236,100,-0.809231,22.11938220799493,1.76427,13.5263,50,-0.722262,0.0005925309960730374,-4.34986,3.23236,1.15863,100,0.0,-42.293,-1999.98956442,-1.26198095782,0.0,-6.75661232228,-126.198095782,7.82828,-126.198095782,50000,-0.226563,-1.08382,-1999.98956442,-0.205046,1.5583995264023542e-05,-4.54939,-1.23073,-2.66165,0,100.0,-0.563616,1000,235.40501897891227,-0.00587853363559,0.07427760100108571,-9.52398,13.4904,-9.54874,-126.198095782,5.33074,1.47691,1000,1000.0,2.03265,3.22974,-6.88421162027,-1.99998956442,1.00961,-451.886607859,1000,25.20986026097671,13.5923,2.9864515520021087,-126.198095782,-1.112614393234253
2.79744,0.012750501991831698,0.01393459300743416,-0.000862185559962,1,-41.5044,11,5,1.87626542831,-4185.45728582,1.06431583158,0.10183283686637878,0.553227,-43.5294,-9.67535,-3.08531,1833.52337118,10,2.8391,0.158554,0.0,0.954466,0.999508,100,-0.823366,21.44777793700632,2.00731,13.5365,55,-0.785539,0.0006815209926571697,-4.38593,2.74799,0.904411,100,0.0,-41.1298,-2677.97195281,-0.828878093832,0.0,-4.88125825312,-82.8878093832,8.53045,-82.8878093832,55000,-0.285382,-1.14558,-2677.97195281,-0.20305,9.006005711853504e-06,-4.44846,-1.30814,-2.60444,0,100.0,-0.564627,1000,260.1247264419071,-0.00342712774847,0.072359536003205,-9.718,13.5279,-9.7016,-82.8878093832,5.70839,1.80594,1100,1000.0,1.79714,2.90988,-7.01188900996,-2.67797195281,1.01207,-425.430124425,1000,24.713196034994326,13.5055,3.165682939987164,-82.8878093832,-0.4433008134365082
2.23706,0.012317211992922239,0.013504896007361822,-0.000560815348408,1,-38.9996,12,5,1.87525341313,-4161.59376041,1.55844619398,0.08947014063596725,0.579712,-39.5067,-8.8992,-3.77146,1806.32988713,11,3.00134,0.173489,0.0,1.03328,1.04645,100,-0.798148,20.48975325700303,1.99332,13.0253,60,-0.762433,0.0006141689955256879,-4.57595,2.31098,0.985025,100,0.0,-39.0373,-1932.49729948,-0.944849450787,0.0,-7.15621201873,-94.4849450787,8.0546,-94.4849450787,60000,-0.260098,-1.19541,-1932.49729948,-0.216067,8.345989044755697e-06,-4.31306,-1.29039,-2.66523,0,100.0,-0.664527,1000,283.4305440808821,-0.00673493015618,0.06725037000433076,-8.90812,13.1006,-8.83588,-94.4849450787,6.10847,1.91294,1200,1000.0,2.46757,2.19719,-6.71673465373,-1.93249729948,1.02075,-448.546430588,1000,23.30087901400111,13.0013,2.7174307640088955,-94.4849450787,-0.21013930439949036
